,length,width,height,horsepower,engine-location,curb-weight,engine-size,peak-rpm,targets(body-style)
0,168.8,64.1,48.8,111,front,2548,130,5000,convertible
1,168.8,64.1,48.8,111,front,2548,130,5000,convertible
2,171.2,65.5,52.4,154,front,2823,152,5000,hatchback
3,176.6,66.2,54.3,102,front,2337,109,5500,sedan
4,176.6,66.4,54.3,115,front,2824,136,5500,sedan
5,177.3,66.3,53.1,110,front,2507,136,5500,sedan
6,192.7,71.4,55.7,110,front,2844,136,5500,sedan
7,192.7,71.4,55.7,110,front,2954,136,5500,wagon
8,192.7,71.4,55.9,140,front,3086,131,5500,sedan
9,178.2,67.9,52.0,160,front,3053,131,5500,hatchback
10,176.8,64.8,54.3,101,front,2395,108,5800,sedan
11,176.8,64.8,54.3,101,front,2395,108,5800,sedan
12,176.8,64.8,54.3,121,front,2710,164,4250,sedan
13,176.8,64.8,54.3,121,front,2765,164,4250,sedan
14,189.0,66.9,55.7,121,front,3055,164,4250,sedan
15,189.0,66.9,55.7,182,front,3230,209,5400,sedan
16,193.8,67.9,53.7,182,front,3380,209,5400,sedan
17,197.0,70.9,56.3,182,front,3505,209,5400,sedan
18,141.1,60.3,53.2,48,front,1488,61,5100,hatchback
19,155.9,63.6,52.0,70,front,1874,90,5400,hatchback
20,158.8,63.6,52.0,70,front,1909,90,5400,sedan
21,157.3,63.8,50.8,68,front,1876,90,5500,hatchback
22,157.3,63.8,50.8,68,front,1876,90,5500,hatchback
23,157.3,63.8,50.8,102,front,2128,98,5500,hatchback
24,157.3,63.8,50.6,68,front,1967,90,5500,hatchback
25,157.3,63.8,50.6,68,front,1989,90,5500,sedan
26,157.3,63.8,50.6,68,front,1989,90,5500,sedan
27,157.3,63.8,50.6,102,front,2191,98,5500,sedan
28,174.6,64.6,59.8,88,front,2535,122,5000,wagon
29,173.2,66.3,50.2,145,front,2811,156,5000,hatchback
30,144.6,63.9,50.8,58,front,1713,92,4800,hatchback
31,144.6,63.9,50.8,76,front,1819,92,6000,hatchback
32,150.0,64.0,52.6,60,front,1837,79,5500,hatchback
33,150.0,64.0,52.6,76,front,1940,92,6000,hatchback
34,150.0,64.0,52.6,76,front,1956,92,6000,hatchback
35,163.4,64.0,54.5,76,front,2010,92,6000,sedan
36,157.1,63.9,58.3,76,front,2024,92,6000,wagon
37,167.5,65.2,53.3,86,front,2236,110,5800,hatchback
38,167.5,65.2,53.3,86,front,2289,110,5800,hatchback
